"Tract","Walker","Pass","Distance","Sherds","Other","Bags"
1001,1,1,90,3,0,0
1001,3,1,100,4,0,0
1001,5,1,93,5,0,0
1001,6,1,90,2,0,0
1001,7,1,90,0,0,0
1002,1,1,100,1,0,0
1002,3,1,100,1,0,0
1002,5,1,99,1,0,0
1002,6,1,100,0,0,0
1002,7,1,100,0,0,0
1003,1,1,100,0,0,0
1003,3,1,100,22,0,1
1003,5,1,100,3,0,1
1003,6,1,90,0,0,0
1003,7,1,100,0,0,0
1004,1,1,100,0,0,0
1004,1,2,25,0,0,0
1004,5,1,35,0,0,0
1004,7,1,100,0,0,0
1004,7,2,30,0,0,0
1005,1,1,25,0,0,0
1005,7,1,50,0,0,0
1006,1,1,100,0,0,0
1006,3,1,100,0,0,0
1006,5,1,100,0,0,0
1006,6,1,100,1,0,1
1006,7,1,100,1,0,0
1007,1,1,100,0,0,0
1007,3,1,100,0,0,0
1007,5,1,100,0,0,0
1007,6,1,100,2,0,0
1007,7,1,100,0,0,0
1008,1,1,100,0,0,0
1008,3,1,100,0,0,0
1008,5,1,100,2,0,0
1008,6,1,100,2,0,1
1008,7,1,100,0,0,0
1009,1,1,75,0,0,0
1009,3,1,40,0,0,0
1009,5,1,50,41,0,0
1009,6,1,50,0,0,0
1009,7,1,100,0,0,0
1010,7,1,40,0,0,0
1011,1,1,80,0,0,0
1011,3,1,70,0,0,0
1011,3,2,70,1,0,1
1011,5,1,98,0,0,0
1011,6,1,97,0,0,0
1011,7,1,75,0,0,0
1012,1,1,100,0,0,0
1012,3,1,100,2,0,1
1012,5,1,100,5,0,1
1012,6,1,100,2,0,1
1012,7,1,100,0,0,0
1013,1,1,100,0,0,0
1013,3,1,100,1,0,0
1013,5,1,100,4,0,0
1013,6,1,100,0,0,0
1013,7,1,100,1,0,0
1014,1,1,100,0,0,0
1014,3,1,100,1,0,1
1014,5,1,100,0,0,0
1014,6,1,100,0,0,0
1014,7,1,100,0,0,0
1015,1,1,100,1,0,0
1015,3,1,100,5,0,0
1015,5,1,100,0,0,0
1015,6,1,100,1,0,0
1015,7,1,100,0,0,0
1016,1,1,75,1,0,0
1016,5,1,45,1,0,1
1016,6,1,18,0,0,0
1016,7,1,85,1,0,1
1017,3,1,75,1,0,0
1017,5,1,48,2,0,0
1017,6,1,65,0,0,0
1018,1,1,80,3,1,0
1018,2,1,50,3,0,1
1018,7,1,80,0,0,0
1019,3,1,30,0,0,0
1019,7,1,35,0,0,0
1020,4,1,100,4,1,0
1020,5,1,60,3,0,1
1020,7,1,100,4,0,1
1021,1,1,70,2,0,0
1021,4,1,100,3,0,1
1021,7,1,100,0,0,0
1022,6,1,50,0,0,0
1022,7,1,100,3,0,0
1023,7,1,25,0,0,0
1024,1,1,100,0,0,0
1024,4,1,100,0,0,0
1024,5,1,100,3,0,1
1024,6,1,100,0,0,0
1024,7,1,100,0,0,0
1025,1,1,100,0,0,0
1025,4,1,100,0,0,0
1025,5,1,100,3,0,1
1025,6,1,100,0,0,0
1025,7,1,100,0,0,0
1026,1,1,100,0,0,0
1026,4,1,100,6,0,1
1026,5,1,100,2,0,0
1026,6,1,100,0,0,0
1026,7,1,85,0,0,0
1027,4,1,50,5,0,1
1027,7,1,50,2,0,0
1028,4,1,65,0,0,0
1028,7,1,60,0,0,0
1029,1,1,100,0,0,0
1029,2,1,100,0,0,0
1029,5,1,100,1,0,0
1029,6,1,12,0,0,0
1030,1,1,75,0,0,0
1030,2,1,32,0,0,0
1030,5,1,62,1,0,0
1031,2,1,70,0,0,0
1031,2,2,33,0,0,0
1031,6,1,48,0,0,0
1031,6,2,12,0,0,0
1032,1,1,45,0,0,0
1032,4,1,100,6,0,0
1032,5,1,95,0,0,0
1032,6,1,100,0,0,0
1032,7,1,30,0,0,0
1033,6,1,32,0,0,0
1034,1,1,35,0,0,0
1034,2,1,51,4,0,0
1034,4,1,19,2,0,0
1034,6,1,21,0,0,0
1035,1,1,100,2,0,0
1035,4,1,100,0,0,0
1035,5,1,100,0,0,0
1035,6,1,100,0,0,0
1035,7,1,85,1,0,0
1036,1,1,100,0,0,0
1036,4,1,100,2,0,0
1036,5,1,100,3,0,0
1036,6,1,100,1,0,0
1036,7,1,100,1,0,0
1037,2,1,100,0,0,0
1037,4,1,100,43,0,1
1037,5,1,100,11,0,2
1037,6,1,100,0,0,0
1037,7,1,100,10,0,1
1038,1,1,100,1,0,1
1038,4,1,100,16,0,1
1038,5,1,100,12,0,0
1038,6,1,100,16,0,1
1038,7,1,100,18,0,1
1039,1,1,25,11,0,1
1039,3,1,10,0,0,0
1039,4,1,28,0,0,0
1039,5,1,36,0,0,0
1039,6,1,40,5,0,1
1040,1,1,25,0,0,0
1040,4,1,57,0,0,0
1041,2,1,45,3,0,0
1041,2,2,10,1,0,0
1041,7,1,55,1,0,1
1042,2,1,70,0,0,0
1042,2,2,45,0,0,0
1042,7,1,100,11,0,1
1043,3,1,90,11,0,1
1043,5,1,70,21,0,2
1043,5,2,50,0,0,0
1043,6,1,79,6,0,1
1045,1,1,100,3,0,1
1045,2,1,100,10,0,1
1045,4,1,100,6,0,2
1045,6,1,100,1,0,0
1045,7,1,100,5,0,0
1046,1,1,100,4,0,1
1046,2,1,100,14,0,0
1046,4,1,100,4,0,0
1046,6,1,100,4,0,1
1046,7,1,100,13,0,2
1047,1,1,100,17,0,0
1047,2,1,100,5,0,0
1047,4,1,100,7,0,1
1047,6,1,100,16,0,1
1047,7,1,100,0,0,0
1048,1,1,100,2,0,0
1048,2,1,100,5,0,0
1048,4,1,100,5,0,1
1048,6,1,100,5,0,1
1048,7,1,100,4,0,0
1049,1,1,100,7,0,2
1049,2,1,100,2,0,0
1049,4,1,100,2,0,1
1049,6,1,100,14,0,1
1049,7,1,100,5,0,1
1050,1,1,100,32,0,1
1050,2,1,100,12,0,0
1050,4,1,50,6,0,1
1050,7,1,100,2,0,0
1051,3,1,60,0,0,0
1051,5,1,100,2,0,1
1052,2,1,100,3,0,0
1052,6,1,100,2,0,0
1052,7,1,100,0,0,0
1053,2,1,100,0,0,0
1053,6,1,100,0,0,0
1053,7,1,100,0,0,0
1054,6,1,91,0,0,0
1054,7,1,85,2,0,0
1055,2,1,75,0,0,0
1056,1,1,50,15,0,0
1056,3,1,4,0,0,0
1056,5,1,30,2,0,0
1056,6,1,51,5,0,1
1056,7,1,100,5,0,1
1057,1,1,100,7,0,0
1057,3,1,100,5,0,0
1057,5,1,100,7,0,0
1057,6,1,100,4,0,0
1057,7,1,100,0,0,0
1058,1,1,100,5,0,1
1058,3,1,100,6,0,0
1058,5,1,100,8,0,1
1058,6,1,100,3,0,0
1058,7,1,100,2,0,0
1059,1,1,100,5,0,0
1059,3,1,100,31,0,2
1059,4,1,100,6,0,0
1059,6,1,100,2,0,0
1059,7,1,100,7,0,0
1060,1,1,100,3,0,0
1060,3,1,100,11,0,0
1060,4,1,100,3,0,0
1060,6,1,100,3,0,0
1060,7,1,100,6,0,1
1061,1,1,100,7,0,1
1061,3,1,100,51,0,2
1061,4,1,100,29,0,1
1061,6,1,100,40,0,1
1061,7,1,100,21,0,0
1062,3,1,100,131,0,4
1062,4,1,100,46,0,2
1062,5,1,100,63,0,2
1062,6,1,100,130,0,7
1062,7,1,100,43,0,2
1063,1,1,100,43,0,5
1063,3,1,100,103,0,2
1063,4,1,100,23,0,0
1063,5,1,100,48,0,2
1063,7,1,100,21,0,2
1064,2,1,100,15,0,1
1064,3,1,100,17,0,1
1064,5,1,100,23,0,2
1064,6,1,100,44,0,2
1064,7,1,100,25,0,2
1065,2,1,100,21,0,3
1065,3,1,100,78,0,3
1065,5,1,100,43,0,2
1065,6,1,100,80,1,4
1065,7,1,100,20,0,0
1066,2,1,100,53,1,5
1066,3,1,100,56,0,4
1066,5,1,100,48,0,4
1066,6,1,100,10,0,0
1066,7,1,100,7,0,3
1067,4,1,24,4,0,1
1067,6,1,42,0,0,0
1067,7,1,75,0,0,0
1068,2,1,25,3,0,0
1068,2,2,5,0,0,0
1068,3,1,100,11,0,1
1068,4,1,57,5,0,0
1068,5,1,95,4,0,1
1068,6,1,100,1,0,0
1068,7,1,75,1,0,0
1069,1,1,100,43,0,2
1069,3,1,100,46,0,4
1069,4,1,50,14,0,2
1069,5,1,74,21,0,1
1069,7,1,100,12,0,0
1070,1,1,100,47,0,2
1070,3,1,100,52,0,3
1070,4,1,100,10,0,2
1070,5,1,100,35,0,3
1070,7,1,100,23,0,2
1071,1,1,100,10,0,2
1071,3,1,100,88,0,4
1071,4,1,100,4,0,0
1071,5,1,100,9,0,0
1071,7,1,100,9,0,0
1072,1,1,100,9,0,2
1072,3,1,100,20,0,2
1072,4,1,100,2,0,1
1072,5,1,100,1,0,0
1072,7,1,100,3,0,0
1073,1,1,100,8,0,1
1073,3,1,100,11,0,2
1073,4,1,100,0,0,0
1073,5,1,100,2,0,0
1073,7,1,100,3,0,1
1074,1,1,100,3,0,0
1074,3,1,100,1,0,1
1074,4,1,100,0,0,0
1074,5,1,100,0,0,0
1074,7,1,100,0,0,0
1075,1,1,50,2,0,0
1075,3,1,52,0,0,0
1075,4,1,20,0,0,0
1075,5,1,20,1,0,0
1075,7,1,25,0,0,0
1076,1,1,100,0,0,0
1076,3,1,98,0,0,0
1076,7,1,90,0,0,0
1077,1,1,100,0,0,0
1077,3,1,100,0,0,0
1077,7,1,100,0,0,0
1078,1,1,100,3,0,0
1078,3,1,100,4,0,0
1078,7,1,100,0,0,0
1079,1,1,100,0,0,0
1079,3,1,100,0,0,0
1079,4,1,25,0,0,0
1079,7,1,100,0,0,0
1080,1,1,60,0,0,0
1080,3,1,97,4,0,1
1080,4,1,56,0,0,0
1080,7,1,80,0,0,0
1081,1,1,50,5,0,0
1081,3,1,100,2,0,0
1081,4,1,12,0,0,0
1081,6,1,49,1,0,0
1081,7,1,70,1,0,1
1082,1,1,100,5,0,0
1082,3,1,100,1,0,0
1082,4,1,97,12,0,0
1082,6,1,77,13,0,2
1082,6,2,60,8,0,1
1082,7,1,85,5,0,2
1083,1,1,100,23,0,2
1083,3,1,100,3,0,1
1083,6,1,77,13,0,2
1083,7,1,100,3,0,1
1084,1,1,20,1,0,0
1084,3,1,31,0,0,0
1085,1,1,100,570,1,6
1085,3,1,100,56,0,3
1085,4,1,100,162,0,3
1085,6,1,84,180,0,6
1085,7,1,95,45,0,1
1086,1,1,50,0,0,0
1086,3,1,27,16,0,0
1086,3,2,27,16,0,0
1086,4,1,79,112,0,2
1086,5,1,75,100,4,5
1086,7,1,65,1,0,0
1087,3,1,100,36,0,2
1087,6,1,100,55,0,2
1087,7,1,100,0,0,0
1088,3,1,87,0,0,0
1088,6,1,25,2,0,0
1088,7,1,100,4,0,1
1089,1,1,100,35,0,1
1089,3,1,100,0,0,0
1089,4,1,68,12,0,1
1089,6,1,100,65,0,4
1089,7,1,100,25,0,3
1090,3,1,4,0,0,0
1090,6,1,26,0,0,0
1090,7,1,30,0,0,0
1091,1,1,34,2,0,0
1091,4,1,50,2,0,1
1092,3,1,34,1,0,0
1092,6,1,40,4,0,0
1093,1,1,100,0,0,0
1093,3,1,38,0,0,0
1093,4,1,100,0,0,0
1093,5,1,41,2,0,1
1093,7,1,15,0,0,0
1094,1,1,100,0,0,0
1094,3,1,100,167,0,3
1094,4,1,100,0,0,0
1094,6,1,100,32,0,1
1094,7,1,100,2,0,1
1095,1,1,100,10,0,3
1095,3,1,100,2,0,1
1095,4,1,100,2,0,0
1095,6,1,100,4,0,0
1095,7,1,100,1,0,0
1096,1,1,100,23,0,2
1096,3,1,100,15,0,0
1096,4,1,100,8,0,0
1096,6,1,100,26,0,1
1096,7,1,100,15,0,2
1097,1,1,100,2,0,0
1097,3,1,100,0,0,0
1097,4,1,100,2,0,0
1097,6,1,100,1,0,0
1097,7,1,100,0,0,0
1098,1,1,34,0,0,0
1098,3,1,100,0,0,0
1098,4,1,100,0,0,0
1098,6,1,75,0,0,0
1098,7,1,45,0,0,0
1099,1,1,90,0,0,0
1099,3,1,100,1,0,0
1099,4,1,85,0,0,0
1099,6,1,100,0,0,0
1099,7,1,100,0,0,0
1100,1,1,100,0,0,0
1100,3,1,100,4,0,2
1100,4,1,100,2,0,2
1100,6,1,100,3,0,1
1100,7,1,100,0,0,0
1101,1,1,100,5,0,0
1101,3,1,100,3,0,1
1101,4,1,100,0,0,0
1101,6,1,100,3,0,1
1101,7,1,100,0,0,0
1102,1,1,100,2,0,0
1102,3,1,100,47,0,2
1102,4,1,100,1,0,0
1102,5,1,100,5,0,0
1102,7,1,100,0,0,0
1103,1,1,100,0,0,0
1103,3,1,100,39,0,1
1103,4,1,100,0,0,0
1103,5,1,100,36,0,2
1103,7,1,100,2,1,0
1104,1,1,100,0,0,0
1104,3,1,100,187,0,4
1104,4,1,100,3,0,0
1104,6,1,100,77,0,3
1104,7,1,100,7,1,0
1105,3,1,100,9,0,0
1105,5,1,100,9,0,0
1105,7,1,45,9,0,0
1106,5,1,18,1,0,0
1107,1,1,100,3,0,0
1107,3,1,100,14,0,1
1107,4,1,100,14,0,1
1107,5,1,100,19,0,2
1107,7,1,100,8,0,0
1108,7,1,100,63,0,1
1109,1,1,60,19,0,1
1109,3,1,71,6,0,0
1109,4,1,57,31,0,0
1109,5,1,81,14,0,0
1109,7,1,30,7,0,0
1110,1,1,5,0,0,0
1110,3,1,35,46,0,2
1110,4,1,60,107,0,2
1110,5,1,26,63,0,2
1110,7,1,100,4,0,0
1111,7,1,35,8,0,0
1112,1,1,50,0,0,0
1112,3,1,100,14,0,1
1112,4,1,100,15,0,2
1112,5,1,100,9,0,2
1112,7,1,12,2,0,0
1113,1,1,85,2,0,0
1113,3,1,100,10,0,1
1113,4,1,100,11,0,0
1113,5,1,100,2,0,0
1114,1,1,100,3,0,0
1114,3,1,100,18,0,1
1114,4,1,100,12,0,0
1114,5,1,100,22,0,2
1114,7,1,100,0,0,0
1115,1,1,100,23,0,0
1115,3,1,100,18,0,1
1115,4,1,100,9,0,0
1115,5,1,100,34,0,2
1115,7,1,100,0,0,0
1116,1,1,100,0,0,0
1116,3,1,100,7,0,1
1116,4,1,100,1,0,0
1116,5,1,100,19,0,1
1116,7,1,100,1,0,0
1117,1,1,100,5,0,0
1117,3,1,100,3,0,0
1117,4,1,100,0,0,0
1117,5,1,100,7,0,0
1117,7,1,100,0,0,0
1118,1,1,100,2,0,0
1118,3,1,100,0,0,0
1118,4,1,100,0,0,0
1118,5,1,100,0,0,0
1118,7,1,100,0,0,0
1119,1,1,100,0,0,0
1119,3,1,100,0,0,0
1119,4,1,100,0,0,0
1119,5,1,100,0,0,0
1119,7,1,100,0,0,0
1120,1,1,100,0,0,0
1120,3,1,100,0,0,0
1120,4,1,100,0,0,0
1120,5,1,100,0,0,0
1120,7,1,90,0,0,0
1121,4,1,100,0,0,0
1121,7,1,100,0,0,0
1122,1,1,20,0,0,0
1122,3,1,60,0,0,0
1122,4,1,100,0,0,0
1122,5,1,45,0,0,0
1122,7,1,100,0,0,0
1123,1,1,100,0,0,0
1123,3,1,100,0,0,0
1123,4,1,100,0,0,0
1123,5,1,100,0,0,0
1123,7,1,100,0,0,0
1124,1,1,100,0,0,0
1124,3,1,100,1,0,0
