Country Name,Country Code,Year,Value
Tuvalu,TUV,2016,34218878.44
Nauru,NRU,2016,102060129.6
Kiribati,KIR,2016,181551484.9
Marshall Islands,MHL,2016,194497900
Palau,PLW,2016,310248300
"Micronesia, Fed. Sts.",FSM,2016,329895600
Sao Tome and Principe,STP,2016,342781715.5
Tonga,TON,2016,401562006.2
Dominica,DMA,2016,581484031.9
Comoros,COM,2016,616654490.4
American Samoa,ASM,2016,658000000
St. Vincent and the Grenadines,VCT,2016,768224226.7
Vanuatu,VUT,2016,773502895.9
Samoa,WSM,2016,786356314.8
St. Kitts and Nevis,KNA,2016,909854619.5
"Gambia, The",GMB,2016,964599178.1
Grenada,GRD,2016,1056188593
Guinea-Bissau,GNB,2016,1164944510
Solomon Islands,SLB,2016,1202125000
Northern Mariana Islands,MNP,2016,1242000000
Seychelles,SYC,2016,1427323889
Antigua and Barbuda,ATG,2016,1460144704
San Marino,SMR,2016,1590707965
Cabo Verde,CPV,2016,1617467436
St. Lucia,LCA,2016,1667078704
Belize,BLZ,2016,1741100000
Central African Republic,CAF,2016,1756124677
Timor-Leste,TLS,2016,1782974000
Liberia,LBR,2016,2101000000
Bhutan,BTN,2016,2212638830
Lesotho,LSO,2016,2291321667
Andorra,AND,2016,2858517699
Burundi,BDI,2016,3007029030
Suriname,SUR,2016,3278425328
Guyana,GUY,2016,3502397094
Swaziland,SWZ,2016,3720649375
Sierra Leone,SLE,2016,3736588554
Maldives,MDV,2016,4224209599
Montenegro,MNE,2016,4374127212
Togo,TGO,2016,4399995987
Barbados,BRB,2016,4529050000
Fiji,FJI,2016,4703632978
Mauritania,MRT,2016,4739298730
Malawi,MWI,2016,5433038647
Guam,GUM,2016,5793000000
Somalia,SOM,2016,6217000000
Kyrgyz Republic,KGZ,2016,6551287938
Kosovo,XKX,2016,6649888889
Moldova,MDA,2016,6749515655
Tajikistan,TJK,2016,6951657159
Niger,NER,2016,7528387858
"Congo, Rep.",COG,2016,7833508879
Haiti,HTI,2016,8022638722
Guinea,GIN,2016,8200248003
Rwanda,RWA,2016,8376048905
Benin,BEN,2016,8583031398
Pacific island small states,PSS,2016,9019651488
Chad,TCD,2016,9600761474
Madagascar,MDG,2016,10001193420
Armenia,ARM,2016,10572298342
Equatorial Guinea,GNQ,2016,10684804794
"Macedonia, FYR",MKD,2016,10899583155
Namibia,NAM,2016,10947880690
Malta,MLT,2016,10999047580
Mozambique,MOZ,2016,11014858592
Mongolia,MNG,2016,11183458131
"Bahamas, The",BHS,2016,11261800000
Brunei Darussalam,BRN,2016,11400653732
Burkina Faso,BFA,2016,11693235542
Albania,ALB,2016,11863865978
Mauritius,MUS,2016,12168437744
Nicaragua,NIC,2016,13230844687
West Bank and Gaza,PSE,2016,13397100000
Mali,MLI,2016,14034980334
Jamaica,JAM,2016,14056908749
Gabon,GAB,2016,14213558130
Georgia,GEO,2016,14378016729
Senegal,SEN,2016,14683697631
Botswana,BWA,2016,15581137274
Lao PDR,LAO,2016,15903329473
Zimbabwe,ZWE,2016,16619960402
Bosnia and Herzegovina,BIH,2016,16910277134
Afghanistan,AFG,2016,19469022208
Cambodia,KHM,2016,20016747754
Cyprus,CYP,2016,20047013274
Iceland,ISL,2016,20047413006
Papua New Guinea,PNG,2016,20213214172
Zambia,ZMB,2016,21063989683
Nepal,NPL,2016,21131983246
Honduras,HND,2016,21516938910
Trinidad and Tobago,TTO,2016,21894706041
Estonia,EST,2016,23337907619
Uganda,UGA,2016,24078931933
El Salvador,SLV,2016,26797470000
"Yemen, Rep.",YEM,2016,27317605346
Paraguay,PRY,2016,27424071383
Latvia,LVA,2016,27572698482
"Congo, Dem. Rep.",COD,2016,31930856402
Bahrain,BHR,2016,32179069149
Cameroon,CMR,2016,32217497470
Bolivia,BOL,2016,33806395514
Turkmenistan,TKM,2016,36179885714
Cote d'Ivoire,CIV,2016,36372613023
Azerbaijan,AZE,2016,37847715736
Serbia,SRB,2016,38299854688
Jordan,JOR,2016,38654727746
Tunisia,TUN,2016,42062549395
Ghana,GHA,2016,42689783734
